id,artist_name,song_title,lyrics,parent_id,chunk_order,primary_emotion,secondary_emotion,tertiary_emotion,classification_result
Post Malone|||White Iverson|||1|||3,Post Malone,White Iverson,"White Iverson
When I started ballin', I was young
You gon' think about me when I'm gone
I need that money like the ring I never won, I won",Post Malone|||White Iverson|||1,3,desire,approval,optimism,"[{'label': 'neutral', 'score': 0.5347295999526978}, {'label': 'desire', 'score': 0.4848847985267639}, {'label': 'approval', 'score': 0.042227890342473984}, {'label': 'optimism', 'score': 0.029321257025003433}, {'label': 'realization', 'score': 0.012040108442306519}, {'label': 'disappointment', 'score': 0.012012561783194542}]"
Post Malone|||White Iverson|||1|||4,Post Malone,White Iverson,"Saucin', saucin', I'm saucin' on you
I'm swaggin', I'm swaggin', I'm swaggin', oh-ooh
I'm ballin', I'm ballin', Iverson on you
Watch out, watch out, watch out, yeah
That's my shot, that's my shot, that's my shot, yeah
Spendin', I'm spendin' all my fuckin' pay",Post Malone|||White Iverson|||1,4,approval,annoyance,excitement,"[{'label': 'neutral', 'score': 0.6298208832740784}, {'label': 'approval', 'score': 0.09239520877599716}, {'label': 'annoyance', 'score': 0.06847213208675385}, {'label': 'excitement', 'score': 0.06552322953939438}, {'label': 'anger', 'score': 0.04670635610818863}, {'label': 'joy', 'score': 0.016389019787311554}]"
Post Malone|||White Iverson|||1|||5,Post Malone,White Iverson,"Ooh, Stoney
Cigarettes and a headband
Commas, commas in my head, man
Slumped over like a dead man
Red and black, 'bout my bread, man
I'm the answer, never question
Lace up, learn a lesson
Bitch, I'm saucin' (Wow), I do this often, don't do no talkin' (No)
My options right when I walk in, jump all them Jordans (Ooh)
I'm ballin', money jumpin'
Like I'm Davis from New Orleans
Or bitch, I'm Harden, I don't miss nothin'
Fuck practice, this shit just happens, know y'all can't stand it (Ayy)
I have it, I never pass it, I work my magic
High average, ball on these bastards, it makes me happy
It's tragic, I make it happen, and all y'all Shaqtin'",Post Malone|||White Iverson|||1,5,annoyance,anger,joy,"[{'label': 'annoyance', 'score': 0.47273847460746765}, {'label': 'anger', 'score': 0.23289254307746887}, {'label': 'joy', 'score': 0.1568203717470169}, {'label': 'neutral', 'score': 0.12580916285514832}, {'label': 'approval', 'score': 0.04005022719502449}, {'label': 'disappointment', 'score': 0.037779904901981354}]"
Post Malone|||White Iverson|||1|||6,Post Malone,White Iverson,"Ooh-ooh
Ooh-ooh
Ooh-ooh
Ooh-ooh
<\Lyric>```",Post Malone|||White Iverson|||1,6,excitement,surprise,joy,"[{'label': 'neutral', 'score': 0.4641587734222412}, {'label': 'excitement', 'score': 0.2264968752861023}, {'label': 'surprise', 'score': 0.08478204905986786}, {'label': 'joy', 'score': 0.04319779947400093}, {'label': 'amusement', 'score': 0.03445753827691078}, {'label': 'realization', 'score': 0.026817921549081802}]"
Post Malone|||Congratulations|||2|||0,Post Malone,Congratulations,"```
<Artist name> Post Malone <\Artist>
<Song title> Congratulations <\Song title>
<Lyric> 
Yeah, yeah
Yeah (Hey)",Post Malone|||Congratulations|||2,0,approval,realization,excitement,"[{'label': 'neutral', 'score': 0.69002366065979}, {'label': 'approval', 'score': 0.2657903730869293}, {'label': 'realization', 'score': 0.017626114189624786}, {'label': 'excitement', 'score': 0.007252474781125784}, {'label': 'joy', 'score': 0.0046013351529836655}, {'label': 'annoyance', 'score': 0.004166808445006609}]"
Post Malone|||Congratulations|||2|||1,Post Malone,Congratulations,"My mama called, seen you on TV, son
Said shit done changed ever since we was on
I dreamed it all ever since I was young
They said I wouldn't be nothing
Now they always say, ""Congratulations"" (Uh, uh, uh)
Worked so hard, forgot how to vacation (Uh-huh)
They ain't never had the dedication (Uh, uh)
People hatin', say we changed and look, we made it (Uh, uh)
Yeah, we made it (Uh, uh, uh)",Post Malone|||Congratulations|||2,1,joy,excitement,approval,"[{'label': 'neutral', 'score': 0.5424637198448181}, {'label': 'joy', 'score': 0.0814826488494873}, {'label': 'excitement', 'score': 0.057143647223711014}, {'label': 'approval', 'score': 0.054640185087919235}, {'label': 'realization', 'score': 0.04690391570329666}, {'label': 'disappointment', 'score': 0.04289960861206055}]"
Post Malone|||Congratulations|||2|||2,Post Malone,Congratulations,"They was never friendly, yeah
Now I'm jumping out the Bentley, yeah
And I know I sound dramatic, yeah
But I know I had to have it, yeah
For the money, I'm a savage, yeah
I be itching like an addict, yeah
I'm surround by twenty bad bitch, yeah
But they didn't know me last year, yeah
Everyone wanna act like they important (Yeah-yeah-yeah, yeah-yeah-yeah)
But all that mean nothing when I saw my dough, yeah (Yeah-yeah-yeah, yeah-yeah-yeah)
Everyone countin' on me drop the ball, yeah (Yeah-yeah-yeah, yeah-yeah-yeah)
Everything custom like I'm at the border, yeah, yeah
If you fuck with winning, put your lighters to the sky
How could I make cents when I got millions on my mind?
Coming with that bullshit, I just put it to the side
Balling since a baby, they could see it in my eyes",Post Malone|||Congratulations|||2,2,annoyance,anger,approval,"[{'label': 'neutral', 'score': 0.5610706806182861}, {'label': 'annoyance', 'score': 0.3655928671360016}, {'label': 'anger', 'score': 0.0686604231595993}, {'label': 'approval', 'score': 0.04630138725042343}, {'label': 'disappointment', 'score': 0.022203661501407623}, {'label': 'disapproval', 'score': 0.016870053485035896}]"
Post Malone|||Congratulations|||2|||3,Post Malone,Congratulations,"My mama called, seen you on TV, son
Said shit done changed ever since we was on
I dreamed it all ever since I was young
They said I wouldn't be nothing
Now they always say, ""Congratulations"" (Congratulations)
Worked so hard, forgot how to vacation (Ooh)
They ain't never had the dedication (Uh, uh, ayy)
People hatin', say we changed and look we made it (Uh, uh)
Yeah, we made it (Uh, uh, uh, yeah)",Post Malone|||Congratulations|||2,3,joy,excitement,realization,"[{'label': 'neutral', 'score': 0.5074991583824158}, {'label': 'joy', 'score': 0.11427664756774902}, {'label': 'excitement', 'score': 0.09349486976861954}, {'label': 'realization', 'score': 0.04761034995317459}, {'label': 'disappointment', 'score': 0.03503027558326721}, {'label': 'approval', 'score': 0.03242495283484459}]"
Post Malone|||Congratulations|||2|||4,Post Malone,Congratulations,"I was patient (Yeah, oh)
I was patient (Ayy, uh)
Now I can scream that we made it (We made it)
Now everywhere, everywhere I go, they say 'gratulation (Uh)
Young nigga, young nigga graduation (Yeah)
I pick up the rock and I ball, baby (Ball)
I'm looking for someone to call, baby (Brr)
But right now, I got a situation (Ayy)
Nothin' but old Ben, Ben Franklins (Cash)
Big rings (Woo), champagne (Champagne)
My life is like a ball game (Ball game)
But instead, I'm in the trap, though (Trap, though)
Pot so big, call it Super Bowl (Super Bowl)
Super Bowl, call the hoes (Brr), get in the Rolls (Skrrt)
Top-floor lifestyle (Top), Huncho and Post (Yeah, ayy)
Malone (Ayy), I got a play on my phone (Ayy)
You know what I'm on (Ayy), Huncho Houdini, it's gone (Ayy)",Post Malone|||Congratulations|||2,4,annoyance,excitement,approval,"[{'label': 'neutral', 'score': 0.8977646827697754}, {'label': 'annoyance', 'score': 0.019057000055909157}, {'label': 'excitement', 'score': 0.016162939369678497}, {'label': 'approval', 'score': 0.01584785245358944}, {'label': 'realization', 'score': 0.01581576280295849}, {'label': 'joy', 'score': 0.014502161182463169}]"
Post Malone|||Congratulations|||2|||5,Post Malone,Congratulations,"My mama called, seen you on TV, son
Said shit done changed ever since we was on
I dreamed it all ever since I was young
They said I wouldn't be nothing
Now they always say, ""Congratulations"" (Ayy, uh, uh, uh)
Worked so hard, forgot how to vacation (Uh-huh, ooh)
They ain't never had the dedication (Ayy, uh, uh)
People hatin', say we changed and look we made it (Yeah,  uh, uh)
Yeah, we made it (Ayy)",Post Malone|||Congratulations|||2,5,joy,excitement,realization,"[{'label': 'neutral', 'score': 0.5386654734611511}, {'label': 'joy', 'score': 0.08814329653978348}, {'label': 'excitement', 'score': 0.06511136144399643}, {'label': 'realization', 'score': 0.05191165208816528}, {'label': 'approval', 'score': 0.046014782041311264}, {'label': 'disappointment', 'score': 0.04485874995589256}]"
Post Malone|||Congratulations|||2|||6,Post Malone,Congratulations,"Hey, hey, hey, hey
Hey, hey, hey, hey
<\Lyric>```",Post Malone|||Congratulations|||2,6,approval,excitement,joy,"[{'label': 'neutral', 'score': 0.8935052752494812}, {'label': 'approval', 'score': 0.047767989337444305}, {'label': 'excitement', 'score': 0.028525210916996002}, {'label': 'joy', 'score': 0.018135415390133858}, {'label': 'realization', 'score': 0.010266165249049664}, {'label': 'admiration', 'score': 0.007113354746252298}]"
Post Malone|||Psycho|||3|||0,Post Malone,Psycho,"```
<Artist name> Post Malone <\Artist>
<Song title> Psycho <\Song title>
<Lyric> 
Damn, my AP goin' psycho, lil' mama bad like Michael
Can't really trust nobody with all this jewelry on you
My roof look like a no-show, got diamonds by the boatload
Come with the Tony Romo for clowns and all the bozos
My AP goin' psycho, lil' mama bad like Michael
Can't really trust nobody with all this jewelry on you
My roof look like a no-show, got diamonds by the boatload
Don't act like you my friend when I'm rollin' through my ends, though",Post Malone|||Psycho|||3,0,annoyance,anger,disapproval,"[{'label': 'annoyance', 'score': 0.4921744763851166}, {'label': 'neutral', 'score': 0.3367723524570465}, {'label': 'anger', 'score': 0.1784374713897705}, {'label': 'disapproval', 'score': 0.09041240811347961}, {'label': 'disappointment', 'score': 0.05704265460371971}, {'label': 'disgust', 'score': 0.033609382808208466}]"
Post Malone|||Psycho|||3|||1,Post Malone,Psycho,"You stuck in the friend zone, I tell that four-five the fifth, ayy
Hunnid bands inside my shorts, DeChino the shit, ayy
Try to stuff it all in, but it don't even fit, ayy
Know that I been with the shits ever since a jit, ayy
I made my first million, I'm like, ""Shit, this is it,"" ayy
30 for a walkthrough, man, we had that bitch lit, ayy
Had so many bottles, gave ugly girl a sip
Out the window of the Benzo, we get seen in the rent'
And I'm like ""Woah, man, my neck so goddamn cold”
Diamonds wet, my t-shirt soaked
I got homies, let it go, oh
My money thick, won't ever fold
She said, ""Can I have some to hold?""
And I can't ever tell you no",Post Malone|||Psycho|||3,1,annoyance,disappointment,realization,"[{'label': 'neutral', 'score': 0.6686014533042908}, {'label': 'annoyance', 'score': 0.2189614623785019}, {'label': 'disappointment', 'score': 0.06825944781303406}, {'label': 'realization', 'score': 0.032818976789712906}, {'label': 'disgust', 'score': 0.029180748388171196}, {'label': 'embarrassment', 'score': 0.027795808389782906}]"
Post Malone|||Psycho|||3|||2,Post Malone,Psycho,"The AP goin' psycho, my Rollie goin' brazy
I'm hittin' lil' mama, she wanna have my babies
It's fifty on the pinky, chain so stanky
You should see the whip, promise I can take yo' bitch
Dolla ridin' in an old school Chevy, it's a drop top
Boolin' with a thot-thot, she gon' give me top-top
Just one switch, I can make the ass drop (Hey)
Ayy, take you to the smoke shop
We gon' get high, ayy, we gon' hit Rodeo
Dial up Valentino, we gon' hit Pico
Take you where I'm from, take you to the slums
This ain't happen overnight, no, these diamonds real bright
Saint Laurent jeans, still in my Vans, though
All VVS', put you in a necklace
Girl, you look beautiful tonight
Stars on the roof, they're matching with the jewelry
<\Lyric>```",Post Malone|||Psycho|||3,2,admiration,approval,disapproval,"[{'label': 'neutral', 'score': 0.6589803695678711}, {'label': 'admiration', 'score': 0.12237006425857544}, {'label': 'approval', 'score': 0.08960603177547455}, {'label': 'disapproval', 'score': 0.020488876849412918}, {'label': 'excitement', 'score': 0.011171587742865086}, {'label': 'joy', 'score': 0.010882081463932991}]"
Post Malone|||I Fall Apart|||4|||0,Post Malone,I Fall Apart,"```
<Artist name> Post Malone <\Artist>
<Song title> I Fall Apart <\Song title>
<Lyric> 
Ooh, I fall apart
Ooh, yeah, mmm, yeah",Post Malone|||I Fall Apart|||4,0,sadness,disappointment,realization,"[{'label': 'sadness', 'score': 0.6436050534248352}, {'label': 'disappointment', 'score': 0.13409623503684998}, {'label': 'neutral', 'score': 0.13063716888427734}, {'label': 'realization', 'score': 0.08308854699134827}, {'label': 'nervousness', 'score': 0.028319355100393295}, {'label': 'annoyance', 'score': 0.020205575972795486}]"
Post Malone|||I Fall Apart|||4|||1,Post Malone,I Fall Apart,"She told me that I'm not enough (Yeah)
And she left me with a broken heart (Yeah)
She fooled me twice and it's all my fault (Yeah)
She cut too deep, now she left me scarred (Yeah)
Now there's so many thoughts goin' through my brain (Yeah)
And now I'm takin' these shots like it's Novocaine, yeah",Post Malone|||I Fall Apart|||4,1,sadness,disappointment,annoyance,"[{'label': 'sadness', 'score': 0.6040464639663696}, {'label': 'disappointment', 'score': 0.18689998984336853}, {'label': 'neutral', 'score': 0.17866869270801544}, {'label': 'annoyance', 'score': 0.0714724063873291}, {'label': 'realization', 'score': 0.03290276229381561}, {'label': 'anger', 'score': 0.019916310906410217}]"
Post Malone|||I Fall Apart|||4|||2,Post Malone,I Fall Apart,"Ooh, I fall apart
Down to my core
Ooh, I fall apart
Down to my core
Ooh, didn't know it before
Surprised when you caught me off guard
All this damn jewelry I bought
You was my shorty, I thought",Post Malone|||I Fall Apart|||4,2,surprise,realization,disappointment,"[{'label': 'surprise', 'score': 0.7892196774482727}, {'label': 'realization', 'score': 0.08550279587507248}, {'label': 'disappointment', 'score': 0.0792243480682373}, {'label': 'neutral', 'score': 0.07663862407207489}, {'label': 'sadness', 'score': 0.03293389454483986}, {'label': 'excitement', 'score': 0.01872868463397026}]"
Post Malone|||I Fall Apart|||4|||3,Post Malone,I Fall Apart,"Never caught a feelin' this hard
Harder than the liquor I pour
Tell me you don't want me no more
But I can't let go, everybody told me so
Feelin' like I sold my soul
Devil in the form of a whore
Devil in the form of a whore
You said it, no, you said it
No, you said that shit, we'd be together, oh",Post Malone|||I Fall Apart|||4,3,annoyance,anger,disapproval,"[{'label': 'neutral', 'score': 0.3688693642616272}, {'label': 'annoyance', 'score': 0.36019444465637207}, {'label': 'anger', 'score': 0.2683142423629761}, {'label': 'disapproval', 'score': 0.10763885825872421}, {'label': 'disappointment', 'score': 0.026594972237944603}, {'label': 'disgust', 'score': 0.02378058061003685}]"
Post Malone|||I Fall Apart|||4|||4,Post Malone,I Fall Apart,"Ice keep pourin' and the drink keep flowin'
Try to brush it off, but it keep on goin'
Covered in scars and I can't help showin'
Whippin' in the foreign and the tears keep rollin'
Ice keep droppin' and the drink keep flowin'
Try to brush it off, but it keep on goin'
All these scars, can't help from showin'
Whippin' in the foreign and the tears keep blowin', yeah
<\Lyric>```",Post Malone|||I Fall Apart|||4,4,annoyance,sadness,disappointment,"[{'label': 'neutral', 'score': 0.9106236100196838}, {'label': 'annoyance', 'score': 0.03211333975195885}, {'label': 'sadness', 'score': 0.028436915948987007}, {'label': 'disappointment', 'score': 0.028396744281053543}, {'label': 'approval', 'score': 0.018687402829527855}, {'label': 'realization', 'score': 0.013734780251979828}]"
Post Malone|||Circles|||5|||0,Post Malone,Circles,"```
<Artist name> Post Malone <\Artist>
<Song title> Circles <\Song title>
<Lyric> 
Oh, oh, oh
Oh,  oh, oh
Oh,  oh, oh, oh, oh",Post Malone|||Circles|||5,0,excitement,surprise,joy,"[{'label': 'neutral', 'score': 0.6907120943069458}, {'label': 'excitement', 'score': 0.14900754392147064}, {'label': 'surprise', 'score': 0.0736706554889679}, {'label': 'joy', 'score': 0.025616556406021118}, {'label': 'approval', 'score': 0.018625982105731964}, {'label': 'realization', 'score': 0.01686248742043972}]"
Post Malone|||Circles|||5|||1,Post Malone,Circles,"We couldn't turn around 'til we were upside down
I'll be the bad guy now, but know I ain't too proud
I  couldn't be there even when I tried
You  don't believe it, we do this every time",Post Malone|||Circles|||5,1,annoyance,disapproval,disappointment,"[{'label': 'neutral', 'score': 0.543489933013916}, {'label': 'annoyance', 'score': 0.2612578272819519}, {'label': 'disapproval', 'score': 0.21364562213420868}, {'label': 'disappointment', 'score': 0.06080073118209839}, {'label': 'anger', 'score': 0.03633858263492584}, {'label': 'realization', 'score': 0.029995590448379517}]"
Post Malone|||Circles|||5|||2,Post Malone,Circles,"Seasons change and our love went cold
Feed  the flame 'cause we can't let go
Run away, but we're running in circles
Run away, run away
I dare you to do something
I'm  waiting on you again, so I don't take the blame
Run away, but we're running in circles
Run away, run away, run away",Post Malone|||Circles|||5,2,anger,annoyance,disapproval,"[{'label': 'anger', 'score': 0.45826256275177}, {'label': 'neutral', 'score': 0.4229618012905121}, {'label': 'annoyance', 'score': 0.16955134272575378}, {'label': 'disapproval', 'score': 0.02526285871863365}, {'label': 'caring', 'score': 0.015615498647093773}, {'label': 'approval', 'score': 0.015506473369896412}]"
Post Malone|||Circles|||5|||3,Post Malone,Circles,"Let go, I got a feeling that it's time to let go
I said so, I knew that this was doomed from the get-go
You thought that it was special, special
But it was just the sex, though, the sex, though
And I still hear the echoes (The echoes)
I got a feeling that it's time to let it go, let it go",Post Malone|||Circles|||5,3,realization,approval,disappointment,"[{'label': 'neutral', 'score': 0.6658670902252197}, {'label': 'realization', 'score': 0.32361018657684326}, {'label': 'approval', 'score': 0.10142307728528976}, {'label': 'disappointment', 'score': 0.02656978741288185}, {'label': 'sadness', 'score': 0.023971816524863243}, {'label': 'annoyance', 'score': 0.010632463730871677}]"
Post Malone|||Circles|||5|||4,Post Malone,Circles,"Seasons change and our love went cold
Feed the flame 'cause we can't let go
Run away, but we're running in circles
Run away, run away
I dare you to do something
I'm waiting on you again, so I don't take the blame
Run away, but we're running in circles
Run away, run away, run away",Post Malone|||Circles|||5,4,anger,annoyance,disapproval,"[{'label': 'neutral', 'score': 0.4255828261375427}, {'label': 'anger', 'score': 0.4249413013458252}, {'label': 'annoyance', 'score': 0.18446967005729675}, {'label': 'disapproval', 'score': 0.031055185943841934}, {'label': 'approval', 'score': 0.019006328657269478}, {'label': 'caring', 'score': 0.018406273797154427}]"
Post Malone|||Circles|||5|||5,Post Malone,Circles,"Maybe you don't understand what I'm going through
It's only me, what you got to lose?
Make up your mind, tell me, what are you gonna do?
It's only me, let it go
<\Lyric>```",Post Malone|||Circles|||5,5,curiosity,confusion,annoyance,"[{'label': 'neutral', 'score': 0.372950941324234}, {'label': 'curiosity', 'score': 0.2922333776950836}, {'label': 'confusion', 'score': 0.2236994057893753}, {'label': 'annoyance', 'score': 0.08323028683662415}, {'label': 'disappointment', 'score': 0.05372120812535286}, {'label': 'disapproval', 'score': 0.022376960143446922}]"
Post Malone|||Better Now|||6|||0,Post Malone,Better Now,"```
<Artist name> Post Malone <\Artist>
<Song title> Better Now <\Song title>
<Lyric> 
You prolly think that you are better now, better now
You only say that 'cause I'm not around, not around
You know I never meant to let you down, let you down
Woulda gave you anything, woulda gave you everything
You know I say that I am better now, better now
I only say that 'cause you're not around, not around
You know I never meant to let you down, let you down
Woulda gave you anything, woulda gave you everything
Oh-oh",Post Malone|||Better Now|||6,0,annoyance,approval,caring,"[{'label': 'neutral', 'score': 0.8965731263160706}, {'label': 'annoyance', 'score': 0.04201433062553406}, {'label': 'approval', 'score': 0.03756120800971985}, {'label': 'caring', 'score': 0.010492080822587013}, {'label': 'realization', 'score': 0.009151751175522804}, {'label': 'disappointment', 'score': 0.007871059700846672}]"
Post Malone|||Better Now|||6|||1,Post Malone,Better Now,"I did not believe that it would end, no
Everything came second to the Benzo
You're not even speakin' to my friends, no
You knew all my uncles and my aunts though
Twenty candles, blow 'em out and open your eyes
We were lookin' forward to the rest of our lives
Used to keep my picture posted by your bedside
Now it's in your dresser with the socks you don't like
And I'm rollin', rollin', rollin', rollin'
With my brothers like it's Jonas, Jonas
Drinkin' Henny and I'm tryna forget
But I can't get this shit outta my head",Post Malone|||Better Now|||6,1,annoyance,disappointment,realization,"[{'label': 'neutral', 'score': 0.6303315162658691}, {'label': 'annoyance', 'score': 0.17017732560634613}, {'label': 'disappointment', 'score': 0.08846718817949295}, {'label': 'realization', 'score': 0.046937599778175354}, {'label': 'disapproval', 'score': 0.043333690613508224}, {'label': 'surprise', 'score': 0.037082523107528687}]"
